layer,sentence,pn,split
0,5,459,train
0,5,474,train
0,5,479,train
0,5,499,train
0,5,746,test
0,5,804,test
0,5,827,test
0,5,81,test
0,5,277,test
0,5,339,test
0,5,369,test
0,5,371,test
0,5,418,test
0,5,432,test
0,5,440,test
0,6,684,train
0,6,700,train
0,6,715,train
0,6,768,train
0,6,819,train
0,6,877,train
0,6,960,train
0,6,972,train
0,6,3,train
0,6,18,train
0,6,19,train
0,6,26,train
0,6,37,train
0,6,60,train
0,6,62,train
0,6,68,train
0,6,92,train
0,6,119,train
0,6,121,train
0,6,145,train
0,6,156,train
0,6,164,train
0,6,198,train
0,6,199,train
0,6,212,train
0,6,215,train
0,6,271,train
0,6,288,train
0,6,295,train
0,6,309,train
0,6,324,train
0,6,340,train
0,6,375,train
0,6,382,train
0,6,399,train
0,6,408,train
0,6,421,train
0,6,430,train
0,6,451,train
0,6,459,train
0,6,474,train
0,6,479,train
0,6,499,train
0,6,746,test
0,6,804,test
0,6,827,test
0,6,81,test
0,6,277,test
0,6,339,test
0,6,369,test
0,6,371,test
0,6,418,test
0,6,432,test
0,6,440,test
0,7,684,train
0,7,700,train
0,7,715,train
0,7,768,train
0,7,819,train
0,7,877,train
0,7,960,train
0,7,972,train
0,7,3,train
0,7,18,train
0,7,19,train
0,7,26,train
0,7,37,train
0,7,60,train
0,7,62,train
0,7,68,train
0,7,92,train
0,7,119,train
0,7,121,train
0,7,145,train
0,7,156,train
0,7,164,train
0,7,198,train
0,7,199,train
0,7,212,train
0,7,215,train
0,7,271,train
0,7,288,train
0,7,295,train
0,7,309,train
0,7,324,train
0,7,340,train
0,7,375,train
0,7,382,train
0,7,399,train
0,7,408,train
0,7,421,train
0,7,430,train
0,7,451,train
0,7,459,train
0,7,474,train
0,7,479,train
0,7,499,train
0,7,746,test
0,7,804,test
0,7,827,test
0,7,81,test
0,7,277,test
0,7,339,test
0,7,369,test
0,7,371,test
0,7,418,test
0,7,432,test
0,7,440,test
0,8,684,train
0,8,700,train
0,8,715,train
0,8,768,train
0,8,819,train
0,8,877,train
0,8,960,train
0,8,972,train
0,8,3,train
0,8,18,train
0,8,19,train
0,8,26,train
0,8,37,train
0,8,60,train
0,8,62,train
0,8,68,train
0,8,92,train
0,8,119,train
0,8,121,train
0,8,145,train
0,8,156,train
0,8,164,train
0,8,198,train
0,8,199,train
0,8,212,train
0,8,215,train
0,8,271,train
0,8,288,train
0,8,295,train
0,8,309,train
0,8,324,train
0,8,340,train
0,8,375,train
0,8,382,train
0,8,399,train
0,8,408,train
0,8,421,train
0,8,430,train
0,8,451,train
0,8,459,train
0,8,474,train
0,8,479,train
0,8,499,train
0,8,746,test
0,8,804,test
0,8,827,test
0,8,81,test
0,8,277,test
0,8,339,test
0,8,369,test
0,8,371,test
0,8,418,test
0,8,432,test
0,8,440,test
0,9,684,train
0,9,700,train
0,9,715,train
0,9,768,train
0,9,819,train
0,9,877,train
0,9,960,train
0,9,972,train
0,9,3,train
0,9,18,train
0,9,19,train
0,9,26,train
0,9,37,train
0,9,60,train
0,9,62,train
0,9,68,train
0,9,92,train
0,9,119,train
0,9,121,train
0,9,145,train
0,9,156,train
0,9,164,train
0,9,198,train
0,9,199,train
0,9,212,train
0,9,215,train
0,9,271,train
0,9,288,train
0,9,295,train
0,9,324,train
0,9,340,train
0,9,375,train
0,9,382,train
0,9,399,train
0,9,408,train
0,9,421,train
0,9,430,train
0,9,451,train
0,9,459,train
0,9,474,train
0,9,479,train
0,9,499,train
0,9,746,test
0,9,804,test
0,9,827,test
0,9,81,test
0,9,277,test
0,9,339,test
0,9,369,test
0,9,371,test
0,9,418,test
0,9,432,test
0,9,440,test
0,10,684,train
0,10,700,train
0,10,715,train
0,10,768,train
0,10,819,train
0,10,877,train
0,10,960,train
0,10,972,train
0,10,3,train
0,10,18,train
0,10,19,train
0,10,26,train
0,10,37,train
0,10,60,train
0,10,62,train
0,10,68,train
0,10,92,train
0,10,119,train
0,10,121,train
0,10,145,train
0,10,156,train
0,10,164,train
0,10,198,train
0,10,199,train
0,10,212,train
0,10,215,train
0,10,271,train
0,10,288,train
0,10,295,train
0,10,324,train
0,10,340,train
0,10,375,train
0,10,382,train
0,10,399,train
0,10,408,train
0,10,421,train
0,10,430,train
0,10,451,train
0,10,459,train
0,10,474,train
0,10,479,train
0,10,499,train
0,10,746,test
0,10,804,test
0,10,827,test
0,10,81,test
0,10,277,test
0,10,339,test
0,10,369,test
0,10,371,test
0,10,418,test
0,10,432,test
0,10,440,test
0,11,684,train
0,11,700,train
0,11,715,train
0,11,768,train
0,11,819,train
0,11,877,train
0,11,960,train
0,11,972,train
0,11,3,train
0,11,18,train
0,11,19,train
0,11,26,train
0,11,37,train
0,11,60,train
0,11,62,train
0,11,68,train
0,11,92,train
0,11,119,train
0,11,121,train
0,11,145,train
0,11,156,train
0,11,164,train
0,11,198,train
0,11,199,train
0,11,212,train
0,11,215,train
0,11,271,train
0,11,288,train
0,11,295,train
0,11,324,train
0,11,340,train
0,11,375,train
0,11,382,train
0,11,399,train
0,11,408,train
0,11,421,train
0,11,430,train
0,11,451,train
0,11,459,train
0,11,474,train
0,11,479,train
0,11,499,train
0,11,746,test
0,11,804,test
0,11,827,test
0,11,81,test
0,11,277,test
0,11,339,test
0,11,369,test
0,11,371,test
0,11,418,test
0,11,432,test
0,11,440,test
0,12,684,train
0,12,700,train
0,12,715,train
0,12,768,train
0,12,819,train
0,12,877,train
0,12,960,train
0,12,972,train
0,12,3,train
0,12,18,train
0,12,19,train
0,12,26,train
0,12,37,train
0,12,60,train
0,12,62,train
0,12,68,train
0,12,92,train
0,12,119,train
0,12,121,train
0,12,145,train
0,12,156,train
0,12,164,train
0,12,198,train
0,12,199,train
0,12,212,train
0,12,215,train
0,12,271,train
0,12,288,train
0,12,295,train
0,12,324,train
0,12,340,train
0,12,375,train
0,12,382,train
0,12,399,train
0,12,408,train
0,12,421,train
0,12,430,train
0,12,451,train
0,12,459,train
0,12,479,train
0,12,499,train
0,12,746,test
0,12,804,test
0,12,827,test
0,12,81,test
0,12,277,test
0,12,339,test
0,12,369,test
0,12,371,test
0,12,418,test
0,12,432,test
0,12,440,test
0,13,684,train
0,13,700,train
0,13,715,train
0,13,768,train
0,13,819,train
0,13,877,train
0,13,960,train
0,13,972,train
0,13,3,train
0,13,18,train
0,13,19,train
0,13,26,train
0,13,37,train
0,13,60,train
0,13,62,train
0,13,68,train
0,13,92,train
0,13,119,train
0,13,121,train
0,13,145,train
0,13,156,train
0,13,164,train
0,13,198,train
0,13,199,train
0,13,212,train
0,13,215,train
0,13,271,train
0,13,288,train
0,13,295,train
0,13,340,train
0,13,375,train
0,13,382,train
0,13,399,train
0,13,408,train
0,13,421,train
0,13,430,train
0,13,451,train
0,13,459,train
0,13,499,train
0,13,746,test
0,13,804,test
0,13,827,test
0,13,81,test
0,13,339,test
0,13,369,test
0,13,371,test
0,13,418,test
0,13,432,test
0,13,440,test
0,14,684,train
0,14,700,train
0,14,715,train
0,14,768,train
0,14,819,train
0,14,877,train
0,14,960,train
0,14,972,train
0,14,18,train
0,14,19,train
0,14,26,train
0,14,37,train
0,14,60,train
0,14,62,train
0,14,68,train
0,14,92,train
0,14,119,train
0,14,121,train
0,14,145,train
0,14,156,train
0,14,198,train
0,14,212,train
0,14,215,train
0,14,271,train
0,14,288,train
0,14,295,train
0,14,340,train
0,14,382,train
0,14,408,train
0,14,421,train
0,14,430,train
0,14,451,train
0,14,459,train
0,14,499,train
0,14,746,test
0,14,804,test
0,14,827,test
0,14,81,test
0,14,369,test
0,14,371,test
0,14,418,test
0,14,432,test
0,14,440,test
0,15,684,train
0,15,700,train
0,15,715,train
0,15,768,train
0,15,819,train
0,15,877,train
0,15,960,train
0,15,972,train
0,15,18,train
0,15,19,train
0,15,26,train
0,15,68,train
0,15,92,train
0,15,119,train
0,15,121,train
0,15,156,train
0,15,198,train
0,15,212,train
0,15,215,train
0,15,271,train
0,15,288,train
0,15,295,train
0,15,340,train
0,15,382,train
0,15,421,train
0,15,430,train
0,15,451,train
0,15,459,train
0,15,499,train
0,15,827,test
0,15,369,test
0,15,371,test
0,15,418,test
0,15,432,test
0,15,440,test
0,16,684,train
0,16,700,train
0,16,715,train
0,16,768,train
0,16,819,train
0,16,877,train
0,16,960,train
0,16,972,train
0,16,18,train
0,16,19,train
0,16,26,train
0,16,68,train
0,16,119,train
0,16,121,train
0,16,156,train
0,16,198,train
0,16,212,train
0,16,215,train
0,16,271,train
0,16,288,train
0,16,295,train
0,16,340,train
0,16,382,train
0,16,430,train
0,16,459,train
0,16,499,train
0,16,369,test
0,16,371,test
0,16,418,test
0,16,432,test
0,16,440,test
0,17,684,train
0,17,700,train
0,17,715,train
0,17,768,train
0,17,819,train
0,17,877,train
0,17,972,train
0,17,18,train
0,17,19,train
0,17,26,train
0,17,68,train
0,17,119,train
0,17,121,train
0,17,156,train
0,17,198,train
0,17,212,train
0,17,215,train
0,17,271,train
0,17,288,train
0,17,295,train
0,17,340,train
0,17,382,train
0,17,430,train
0,17,499,train
0,17,369,test
0,17,371,test
0,17,418,test
0,17,432,test
0,17,440,test
0,18,684,train
0,18,700,train
0,18,715,train
0,18,768,train
0,18,819,train
0,18,877,train
0,18,972,train
0,18,18,train
0,18,19,train
0,18,26,train
0,18,68,train
0,18,119,train
0,18,121,train
0,18,156,train
0,18,198,train
0,18,212,train
0,18,271,train
0,18,288,train
0,18,295,train
0,18,340,train
0,18,382,train
0,18,430,train
0,18,499,train
0,18,369,test
0,18,418,test
0,18,432,test
0,18,440,test
0,19,684,train
0,19,700,train
0,19,715,train
0,19,819,train
0,19,877,train
0,19,972,train
0,19,18,train
0,19,19,train
0,19,26,train
0,19,119,train
0,19,121,train
0,19,156,train
0,19,198,train
0,19,212,train
0,19,271,train
0,19,288,train
0,19,295,train
0,19,340,train
0,19,382,train
0,19,430,train
0,19,499,train
0,19,369,test
0,19,418,test
0,19,432,test
0,19,440,test
0,20,700,train
0,20,715,train
0,20,819,train
0,20,877,train
0,20,972,train
0,20,18,train
0,20,19,train
0,20,26,train
0,20,119,train
0,20,121,train
0,20,156,train
0,20,198,train
0,20,212,train
0,20,271,train
0,20,288,train
0,20,295,train
0,20,340,train
0,20,382,train
0,20,430,train
0,20,499,train
0,20,369,test
0,20,418,test
0,20,432,test
0,20,440,test
0,21,700,train
0,21,715,train
0,21,819,train
0,21,877,train
0,21,972,train
0,21,18,train
0,21,19,train
0,21,26,train
0,21,121,train
0,21,156,train
0,21,198,train
0,21,212,train
0,21,271,train
0,21,288,train
0,21,295,train
0,21,340,train
0,21,382,train
0,21,430,train
0,21,499,train
0,21,369,test
0,21,418,test
0,21,432,test
0,21,440,test
0,22,700,train
0,22,715,train
0,22,819,train
0,22,877,train
0,22,972,train
0,22,18,train
0,22,26,train
0,22,121,train
0,22,156,train
0,22,198,train
0,22,212,train
0,22,271,train
0,22,288,train
0,22,295,train
0,22,340,train
0,22,382,train
0,22,430,train
0,22,499,train
0,22,369,test
0,22,418,test
0,22,432,test
0,22,440,test
0,23,700,train
0,23,715,train
0,23,819,train
0,23,877,train
0,23,972,train
0,23,18,train
0,23,26,train
0,23,121,train
0,23,156,train
0,23,212,train
0,23,271,train
0,23,288,train
0,23,295,train
0,23,340,train
0,23,382,train
0,23,430,train
0,23,499,train
0,23,418,test
0,23,432,test
0,23,440,test
1,0,684,train
1,0,700,train
1,0,715,train
1,0,768,train
1,0,819,train
1,0,877,train
1,0,960,train
1,0,972,train
1,0,3,train
1,0,18,train
1,0,19,train
1,0,26,train
1,0,37,train
1,0,59,train
1,0,60,train
1,0,62,train
1,0,68,train
1,0,92,train
1,0,119,train
1,0,121,train
1,0,145,train
1,0,156,train
1,0,164,train
1,0,198,train
1,0,199,train
1,0,212,train
1,0,215,train
1,0,271,train
1,0,288,train
1,0,295,train
1,0,309,train
1,0,324,train
1,0,340,train
1,0,375,train
1,0,382,train
1,0,399,train
1,0,408,train
1,0,421,train
1,0,430,train
1,0,451,train
1,0,459,train
1,0,474,train
1,0,479,train
1,0,499,train
1,0,746,test
1,0,804,test
1,0,827,test
1,0,81,test
1,0,277,test
1,0,339,test
1,0,369,test
1,0,371,test
1,0,418,test
1,0,432,test
1,0,440,test
1,1,684,train
1,1,700,train
1,1,715,train
1,1,768,train
1,1,819,train
1,1,877,train
1,1,960,train
1,1,972,train
1,1,3,train
1,1,18,train
1,1,19,train
1,1,26,train
1,1,37,train
1,1,59,train
1,1,60,train
1,1,62,train
1,1,68,train
1,1,92,train
1,1,119,train
1,1,121,train
1,1,145,train
1,1,156,train
1,1,164,train
1,1,198,train
1,1,199,train
1,1,212,train
1,1,215,train
1,1,271,train
1,1,288,train
1,1,295,train
1,1,309,train
1,1,324,train
1,1,340,train
1,1,375,train
1,1,382,train
1,1,399,train
1,1,408,train
1,1,421,train
1,1,430,train
1,1,451,train
1,1,459,train
1,1,474,train
1,1,479,train
1,1,499,train
1,1,746,test
1,1,804,test
1,1,827,test
1,1,81,test
1,1,277,test
1,1,339,test
1,1,369,test
1,1,371,test
1,1,418,test
1,1,432,test
1,1,440,test
1,2,684,train
1,2,700,train
1,2,715,train
1,2,768,train
1,2,819,train
1,2,877,train
1,2,960,train
1,2,972,train
1,2,3,train
1,2,18,train
1,2,19,train
1,2,26,train
1,2,37,train
1,2,59,train
1,2,60,train
1,2,62,train
1,2,68,train
1,2,92,train
1,2,119,train
1,2,121,train
1,2,145,train
1,2,156,train
1,2,164,train
1,2,198,train
1,2,199,train
1,2,212,train
1,2,215,train
1,2,271,train
1,2,288,train
1,2,295,train
1,2,309,train
1,2,324,train
1,2,340,train
1,2,375,train
1,2,382,train
1,2,399,train
1,2,408,train
1,2,421,train
1,2,430,train
1,2,451,train
1,2,459,train
1,2,474,train
1,2,479,train
1,2,499,train
1,2,746,test
1,2,804,test
1,2,827,test
1,2,81,test
1,2,277,test
1,2,339,test
1,2,369,test
1,2,371,test
1,2,418,test
1,2,432,test
1,2,440,test
1,3,684,train
1,3,700,train
1,3,715,train
1,3,768,train
1,3,819,train
1,3,877,train
1,3,960,train
1,3,972,train
1,3,3,train
1,3,18,train
1,3,19,train
1,3,26,train
1,3,37,train
1,3,59,train
1,3,60,train
1,3,62,train
1,3,68,train
1,3,92,train
1,3,119,train
1,3,121,train
1,3,145,train
1,3,156,train
1,3,164,train
1,3,198,train
1,3,199,train
1,3,212,train
1,3,215,train
1,3,271,train
1,3,288,train
1,3,295,train
1,3,309,train
1,3,324,train
1,3,340,train
1,3,375,train
1,3,382,train
1,3,399,train
1,3,408,train
1,3,421,train
1,3,430,train
1,3,451,train
1,3,459,train
1,3,474,train
1,3,479,train
1,3,499,train
1,3,746,test
1,3,804,test
1,3,827,test
1,3,81,test
1,3,277,test
1,3,339,test
1,3,369,test
1,3,371,test
1,3,418,test
1,3,432,test
1,3,440,test
1,4,684,train
1,4,700,train
1,4,715,train
1,4,768,train
1,4,819,train
1,4,877,train
1,4,960,train
1,4,972,train
1,4,3,train
1,4,18,train
1,4,19,train
1,4,26,train
1,4,37,train
1,4,59,train
1,4,60,train
1,4,62,train
1,4,68,train
1,4,92,train
1,4,119,train
1,4,121,train
1,4,145,train
1,4,156,train
1,4,164,train
1,4,198,train
1,4,199,train
1,4,212,train
1,4,215,train
1,4,271,train
1,4,288,train
1,4,295,train
1,4,309,train
1,4,324,train
1,4,340,train
1,4,375,train
1,4,382,train
1,4,399,train
1,4,408,train
1,4,421,train
1,4,430,train
1,4,451,train
1,4,459,train
1,4,474,train
1,4,479,train
1,4,499,train
1,4,746,test
1,4,804,test
1,4,827,test
1,4,81,test
1,4,277,test
1,4,339,test
1,4,369,test
1,4,371,test
1,4,418,test
1,4,432,test
1,4,440,test
1,5,684,train
1,5,700,train
1,5,715,train
1,5,768,train
1,5,819,train
1,5,877,train
1,5,960,train
1,5,972,train
1,5,3,train
1,5,18,train
1,5,19,train
1,5,26,train
1,5,37,train
1,5,59,train
1,5,60,train
1,5,62,train
1,5,68,train
1,5,92,train
1,5,119,train
1,5,121,train
1,5,145,train
1,5,156,train
1,5,164,train
1,5,198,train
1,5,199,train
1,5,212,train
1,5,215,train
1,5,271,train
1,5,288,train
1,5,295,train
1,5,309,train
1,5,324,train
1,5,340,train
1,5,375,train
1,5,382,train
1,5,399,train
1,5,408,train
1,5,421,train
1,5,430,train
1,5,451,train
1,5,459,train
1,5,474,train
1,5,479,train
1,5,499,train
1,5,746,test
1,5,804,test
1,5,827,test
1,5,81,test
1,5,277,test
1,5,339,test
1,5,369,test
1,5,371,test
1,5,418,test
1,5,432,test
1,5,440,test
1,6,684,train
1,6,700,train
1,6,715,train
1,6,768,train
1,6,819,train
1,6,877,train
1,6,960,train
1,6,972,train
1,6,3,train
1,6,18,train
1,6,19,train
1,6,26,train
1,6,37,train
1,6,60,train
1,6,62,train
1,6,68,train
1,6,92,train
1,6,119,train
1,6,121,train
1,6,145,train
1,6,156,train
1,6,164,train
1,6,198,train
1,6,199,train
1,6,212,train
1,6,215,train
1,6,271,train
1,6,288,train
1,6,295,train
1,6,309,train
1,6,324,train
1,6,340,train
1,6,375,train
1,6,382,train
1,6,399,train
1,6,408,train
1,6,421,train
1,6,430,train
1,6,451,train
1,6,459,train
1,6,474,train
1,6,479,train
1,6,499,train
1,6,746,test
1,6,804,test
1,6,827,test
1,6,81,test
1,6,277,test
1,6,339,test
1,6,369,test
1,6,371,test
1,6,418,test
1,6,432,test
1,6,440,test
1,7,684,train
1,7,700,train
1,7,715,train
1,7,768,train
1,7,819,train
1,7,877,train
1,7,960,train
1,7,972,train
1,7,3,train
1,7,18,train
1,7,19,train
1,7,26,train
1,7,37,train
1,7,60,train
1,7,62,train
1,7,68,train
1,7,92,train
1,7,119,train
1,7,121,train
1,7,145,train
1,7,156,train
1,7,164,train
1,7,198,train
1,7,199,train
1,7,212,train
1,7,215,train
1,7,271,train
1,7,288,train
1,7,295,train
1,7,309,train
1,7,324,train
1,7,340,train
1,7,375,train
1,7,382,train
1,7,399,train
1,7,408,train
1,7,421,train
1,7,430,train
1,7,451,train
1,7,459,train
1,7,474,train
1,7,479,train
1,7,499,train
1,7,746,test
1,7,804,test
1,7,827,test
1,7,81,test
1,7,277,test
1,7,339,test
1,7,369,test
1,7,371,test
1,7,418,test
1,7,432,test
1,7,440,test
1,8,684,train
1,8,700,train
1,8,715,train
1,8,768,train
1,8,819,train
1,8,877,train
1,8,960,train
1,8,972,train
1,8,3,train
1,8,18,train
1,8,19,train
1,8,26,train
1,8,37,train
1,8,60,train
1,8,62,train
1,8,68,train
1,8,92,train
1,8,119,train
1,8,121,train
1,8,145,train
1,8,156,train
1,8,164,train
1,8,198,train
1,8,199,train
1,8,212,train
1,8,215,train
1,8,271,train
1,8,288,train
1,8,295,train
1,8,309,train
1,8,324,train
1,8,340,train
1,8,375,train
1,8,382,train
1,8,399,train
1,8,408,train
1,8,421,train
1,8,430,train
1,8,451,train
1,8,459,train
1,8,474,train
1,8,479,train
1,8,499,train
1,8,746,test
1,8,804,test
1,8,827,test
1,8,81,test
1,8,277,test
1,8,339,test
1,8,369,test
1,8,371,test
1,8,418,test
1,8,432,test
1,8,440,test
1,9,684,train
1,9,700,train
1,9,715,train
1,9,768,train
1,9,819,train
1,9,877,train
1,9,960,train
1,9,972,train
1,9,3,train
1,9,18,train
1,9,19,train
1,9,26,train
1,9,37,train
1,9,60,train
1,9,62,train
1,9,68,train
1,9,92,train
1,9,119,train
1,9,121,train
1,9,145,train
1,9,156,train
1,9,164,train
1,9,198,train
1,9,199,train
1,9,212,train
1,9,215,train
1,9,271,train
1,9,288,train
1,9,295,train
1,9,324,train
1,9,340,train
1,9,375,train
1,9,382,train
1,9,399,train
1,9,408,train
1,9,421,train
1,9,430,train
1,9,451,train
1,9,459,train
1,9,474,train
1,9,479,train
1,9,499,train
1,9,746,test
1,9,804,test
1,9,827,test
1,9,81,test
1,9,277,test
1,9,339,test
1,9,369,test
1,9,371,test
1,9,418,test
1,9,432,test
1,9,440,test
1,10,684,train
1,10,700,train
1,10,715,train
1,10,768,train
1,10,819,train
1,10,877,train
1,10,960,train
1,10,972,train
1,10,3,train
1,10,18,train
1,10,19,train
1,10,26,train
1,10,37,train
1,10,60,train
1,10,62,train
1,10,68,train
1,10,92,train
1,10,119,train
1,10,121,train
1,10,145,train
1,10,156,train
1,10,164,train
1,10,198,train
1,10,199,train
1,10,212,train
1,10,215,train
1,10,271,train
1,10,288,train
1,10,295,train
1,10,324,train
1,10,340,train
1,10,375,train
1,10,382,train
1,10,399,train
1,10,408,train
1,10,421,train
1,10,430,train
1,10,451,train
1,10,459,train
1,10,474,train
1,10,479,train
1,10,499,train
1,10,746,test
1,10,804,test
1,10,827,test
1,10,81,test
1,10,277,test
1,10,339,test
1,10,369,test
1,10,371,test
1,10,418,test
1,10,432,test
1,10,440,test
1,11,684,train
1,11,700,train
1,11,715,train
1,11,768,train
1,11,819,train
1,11,877,train
1,11,960,train
1,11,972,train
1,11,3,train
1,11,18,train
1,11,19,train
1,11,26,train
1,11,37,train
1,11,60,train
1,11,62,train
1,11,68,train
1,11,92,train
1,11,119,train
1,11,121,train
1,11,145,train
1,11,156,train
1,11,164,train
1,11,198,train
1,11,199,train
1,11,212,train
1,11,215,train
1,11,271,train
1,11,288,train
1,11,295,train
1,11,324,train
1,11,340,train
1,11,375,train
1,11,382,train
1,11,399,train
1,11,408,train
1,11,421,train
1,11,430,train
1,11,451,train
1,11,459,train
1,11,474,train
1,11,479,train
1,11,499,train
1,11,746,test
1,11,804,test
1,11,827,test
1,11,81,test
1,11,277,test
1,11,339,test
1,11,369,test
1,11,371,test
1,11,418,test
1,11,432,test
1,11,440,test
1,12,684,train
1,12,700,train
1,12,715,train
1,12,768,train
1,12,819,train
1,12,877,train
1,12,960,train
1,12,972,train
1,12,3,train
1,12,18,train
1,12,19,train
1,12,26,train
1,12,37,train
1,12,60,train
1,12,62,train
1,12,68,train
1,12,92,train
1,12,119,train
1,12,121,train
1,12,145,train
1,12,156,train
1,12,164,train
1,12,198,train
1,12,199,train
1,12,212,train
1,12,215,train
1,12,271,train
1,12,288,train
1,12,295,train
1,12,324,train
1,12,340,train
1,12,375,train
1,12,382,train
1,12,399,train
1,12,408,train
1,12,421,train
1,12,430,train
1,12,451,train
1,12,459,train
1,12,479,train
1,12,499,train
1,12,746,test
1,12,804,test
1,12,827,test
1,12,81,test
1,12,277,test
1,12,339,test
1,12,369,test
1,12,371,test
1,12,418,test
1,12,432,test
1,12,440,test
1,13,684,train
1,13,700,train
1,13,715,train
1,13,768,train
1,13,819,train
1,13,877,train
1,13,960,train
1,13,972,train
1,13,3,train
1,13,18,train
1,13,19,train
1,13,26,train
1,13,37,train
